p,d,t
2,446,0.000371658
2,446,0.000385893
2,446,0.000400074
2,446,0.000394976
2,448,0.00044527
2,448,0.000388517
2,448,0.000375734
2,448,0.000420544
2,448,0.000392563
2,450,0.000398551
2,450,0.000386866
2,450,0.000390775
2,450,0.000377599
2,450,0.000421487
2,452,0.000581427
2,452,0.000405572
2,452,0.000393352
2,452,0.000442627
2,452,0.000393119
2,454,0.000408069
2,454,0.000414149
2,454,0.000395126
2,454,0.000409012
2,454,0.000401809
2,456,0.000437133
2,456,0.000409046
2,456,0.000475936
2,456,0.000404226
2,456,0.000402505
2,458,0.000418482
2,458,0.000440304
2,458,0.000404209
2,458,0.000411201
2,458,0.000412376
2,460,0.000426491
2,460,0.000432469
2,460,0.000451179
2,460,0.000466363
2,460,0.000411535
2,462,0.000412382
2,462,0.000400613
2,462,0.000401709
2,462,0.00041048
2,462,0.00040035
2,464,0.000458457
2,464,0.000523887
2,464,0.000429702
2,464,0.000406189
2,464,0.000414416
2,466,0.000443306
2,466,0.000443393
2,466,0.000405192
2,466,0.000406695
2,466,0.000417274
2,468,0.000455834
2,468,0.000422662
2,468,0.000409775
2,468,0.000421936
2,468,0.000408138
2,470,0.000456177
2,470,0.000413503
2,470,0.000412361
2,470,0.00041517
2,470,0.000427194
2,472,0.00044615
2,472,0.000591939
2,472,0.000438661
2,472,0.000418755
2,472,0.000422042
2,474,0.000483026
2,474,0.000434408
2,474,0.000533644
2,474,0.000507631
2,474,0.000438615
2,476,0.000439861
2,476,0.000430511
2,476,0.000514096
2,476,0.000460395
2,476,0.000448062
2,478,0.000474161
2,478,0.000454623
2,478,0.000425807
2,478,0.000449239
2,478,0.000438867
2,480,0.000447585
2,480,0.000435338
2,480,0.000434201
2,480,0.000436623
2,480,0.000466083
2,482,0.000459703
2,482,0.000454868
2,482,0.000435688
2,482,0.000442941
2,482,0.000434372
2,484,0.000490639
2,484,0.000463826
2,484,0.000454864
2,484,0.000458699
2,484,0.000455107
2,486,0.000491811
2,486,0.000459502
2,486,0.000444307
2,486,0.000440773
2,486,0.000474068
2,488,0.000651778
2,488,0.000458781
2,488,0.000464757
2,488,0.000449254
2,488,0.000445619
2,490,0.000746196
2,490,0.000458985
2,490,0.000474366
2,490,0.000448386
2,490,0.000453026
2,492,0.000476909
2,492,0.000549009
2,492,0.000502493
2,492,0.000564187
2,492,0.000542921
2,494,0.000509917
2,494,0.000500924
2,494,0.000495949
2,494,0.000474851
2,494,0.000473086
2,496,0.000477907
2,496,0.000478818
2,496,0.000463792
2,496,0.000463167
2,496,0.000494581
2,498,0.000482821
2,498,0.000732929
2,498,0.000741716
2,498,0.000481159
2,498,0.000482432
2,500,0.000524413
2,500,0.000469402
2,500,0.000496391
2,500,0.000532241
2,500,0.000479746
2,502,0.000487309
2,502,0.000510582
2,502,0.000504913
2,502,0.000479229
2,502,0.000476314
2,504,0.0004855
2,504,0.000475898
2,504,0.000554209
2,504,0.000479308
2,504,0.000513244
2,506,0.000491211
2,506,0.00056243
2,506,0.00048576
2,506,0.000537765
2,506,0.000531119
2,508,0.000518501
2,508,0.000546366
2,508,0.000508999
2,508,0.000487214
2,508,0.00052155
2,510,0.000504135
2,510,0.000529585
